Date,DBC,EEM,GLD,TLT,VNQ,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^HSI,^IXIC,^N225,^RUT
2025-02-10,21.670652389526367,42.689613342285156,268.3699951171875,85.22840118408203,88.12329864501953,77311.796875,125572.0,44470.41015625,8006.22021484375,8767.7998046875,21911.740234375,6066.43994140625,21521.98046875,19714.26953125,38801.171875,2287.93994140625
2025-02-11,21.83511734008789,42.523616790771484,267.3900146484375,84.68253326416016,88.5081558227539,76293.6015625,126522.0,44593.6484375,8028.89990234375,8777.400390625,22037.830078125,6068.5,21294.859375,19643.859375,38801.171875,2275.699951171875
2025-02-12,21.5932559967041,42.75796127319336,267.6700134277344,83.53339385986328,87.69033813476562,76171.078125,124380.0,44368.55859375,8042.18994140625,8807.400390625,22148.029296875,6051.97021484375,21857.919921875,19649.94921875,38963.69921875,2255.889892578125
2025-02-13,21.699676513671875,43.0313606262207,270.30999755859375,84.92195129394531,88.56588745117188,76138.96875,124850.0,44711.4296875,8164.10986328125,8764.7001953125,22612.01953125,6115.06982421875,21814.369140625,19945.640625,39461.46875,2282.179931640625
2025-02-14,21.7093505859375,43.36334991455078,266.2900085449219,85.37203216552734,88.16178131103516,75939.2109375,128219.0,44546.078125,8178.5400390625,8732.5,22513.419921875,6114.6298828125,22620.330078125,20026.76953125,39149.4296875,2279.97998046875
2025-02-17,21.7093505859375,43.36334991455078,266.2900085449219,85.37203216552734,88.16178131103516,75996.859375,128869.0,44546.078125,8189.1298828125,8768.0,22798.08984375,6114.6298828125,22616.23046875,20026.76953125,39174.25,2279.97998046875
2025-02-18,22.02860450744629,43.636749267578125,270.70001220703125,84.36650848388672,88.55626678466797,75967.390625,128532.0,44556.33984375,8206.5595703125,8766.7001953125,22844.5,6129.580078125,22976.810546875,20041.259765625,39270.3984375,2290.35009765625
2025-02-19,22.20274543762207,43.568397521972656,270.8500061035156,84.47187805175781,88.62361907958984,75939.1796875,127309.0,44627.58984375,8110.5400390625,8712.5,22433.630859375,6144.14990234375,22944.240234375,20056.25,39164.609375,2282.4599609375
2025-02-20,22.231767654418945,43.96873474121094,270.989990234375,84.78788757324219,89.04696655273438,75735.9609375,127601.0,44176.6484375,8122.580078125,8663.0,22314.650390625,6117.52001953125,22576.98046875,19962.359375,38678.0390625,2261.739990234375
2025-02-21,21.92218589782715,43.84180450439453,270.739990234375,85.81253051757812,88.17140197753906,75311.0625,127128.0,43428.01953125,8154.509765625,8659.400390625,22287.560546875,6013.1298828125,23477.919921875,19524.009765625,38776.94140625,2195.35009765625
2025-02-24,21.844791412353516,43.16806411743164,272.2099914550781,86.06153106689453,88.51778411865234,74454.40625,125401.0,43461.2109375,8090.990234375,8659.0,22425.9296875,5983.25,23341.609375,19286.9296875,38776.94140625,2178.27001953125
2025-02-25,21.60293197631836,43.197357177734375,268.6199951171875,87.54582977294922,89.60501098632812,74602.1171875,125980.0,43621.16015625,8051.06982421875,8668.7001953125,22410.26953125,5955.25,23034.01953125,19026.390625,38237.7890625,2170.080078125
2025-02-26,21.419116973876953,43.626983642578125,269.0299987792969,88.06295013427734,89.22977447509766,74602.1171875,124769.0,43433.12109375,8143.919921875,8731.5,22794.109375,5956.06005859375,23787.9296875,19075.259765625,38142.37109375,2174.169921875
2025-02-27,21.44814109802246,42.77749252319336,264.92999267578125,87.44049072265625,89.58576965332031,74612.4296875,124799.0,43239.5,8102.52001953125,8756.2001953125,22550.890625,5861.56982421875,23718.2890625,18544.419921875,38256.171875,2139.659912109375
2025-02-28,21.283676147460938,42.191627502441406,263.2699890136719,88.51303100585938,90.34586334228516,73198.1015625,122799.0,43840.91015625,8111.6298828125,8809.7001953125,22551.4296875,5954.5,22941.3203125,18847.279296875,37155.5,2163.070068359375
2025-03-03,21.148235321044922,41.82059097290039,266.739990234375,88.92609405517578,90.76920318603516,73085.9375,122799.0,43191.23828125,8199.7099609375,8871.2998046875,23147.01953125,5849.72021484375,23006.26953125,18350.189453125,37785.46875,2102.239990234375
2025-03-04,21.21595573425293,42.17210006713867,269.05999755859375,87.83097076416016,89.72046661376953,72989.9296875,122799.0,42520.98828125,8047.919921875,8759.0,22326.810546875,5778.14990234375,22941.76953125,18285.16015625,37331.1796875,2079.530029296875
2025-03-05,21.157909393310547,43.431697845458984,269.6199951171875,87.12970733642578,90.72109985351562,73730.2265625,123047.0,43006.58984375,8173.75,8755.7998046875,23081.029296875,5842.6298828125,23594.2109375,18552.73046875,37418.23828125,2100.75
2025-03-06,21.051490783691406,43.158302307128906,268.25,86.84152221679688,88.3927001953125,74340.09375,123358.0,42579.078125,8197.669921875,8682.7998046875,23419.48046875,5738.52001953125,24369.7109375,18069.259765625,37704.9296875,2066.550048828125
2025-03-07,21.235305786132812,43.373111724853516,268.3900146484375,86.56295013427734,88.92189025878906,74332.578125,125035.0,42801.71875,8120.7998046875,8679.900390625,23008.939453125,5770.2001953125,24231.30078125,18196.220703125,36887.171875,2075.47998046875
2025-03-10,21.099863052368164,42.33809280395508,266.0400085449219,87.46595001220703,88.0655746459961,74115.171875,124519.0,41911.7109375,8047.60009765625,8600.2001953125,22620.94921875,5614.56005859375,23783.490234375,17468.3203125,37028.26953125,2019.0699462890625
2025-03-11,21.21595573425293,42.689613342285156,269.1600036621094,86.84152221679688,87.03607177734375,74102.3203125,123507.0,41433.48046875,7941.91015625,8496.0,22328.76953125,5572.06982421875,23782.140625,17436.099609375,36793.109375,2023.5899658203125
2025-03-12,21.21595573425293,42.923954010009766,270.3299865722656,86.32279205322266,86.76667785644531,74029.7578125,123864.0,41350.9296875,7988.9599609375,8541.0,22676.41015625,5599.2998046875,23600.310546875,17648.44921875,36819.08984375,2026.469970703125
2025-03-13,21.138561248779297,42.74819564819336,275.1300048828125,87.08168029785156,85.05404663085938,73828.90625,125637.0,40813.5703125,7938.2099609375,8542.599609375,22567.140625,5521.52001953125,23462.650390625,17303.009765625,36790.03125,1993.68994140625
2025-03-14,21.25465202331543,43.52934265136719,275.239990234375,86.62059020996094,86.75704193115234,73828.90625,128957.0,41488.19140625,8028.27978515625,8632.2998046875,22986.8203125,5638.93994140625,23959.98046875,17754.08984375,37053.1015625,2044.0999755859375
2025-03-17,21.399770736694336,44.27143096923828,276.7300109863281,87.05286407470703,88.23875427246094,74169.953125,130834.0,41841.62890625,8073.97998046875,8680.2998046875,23154.5703125,5675.1201171875,24145.5703125,17808.66015625,37396.51953125,2068.330078125
2025-03-18,21.351396560668945,44.046852111816406,279.9599914550781,87.13932037353516,87.77692413330078,75301.2578125,131475.0,41581.30859375,8114.56982421875,8705.2001953125,23380.69921875,5614.66015625,24740.5703125,17504.119140625,37845.421875,2049.93994140625
2025-03-19,21.48683738708496,44.154258728027344,281.1099853515625,87.5908203125,87.88275909423828,75449.046875,132508.0,41964.62890625,8171.47021484375,8706.7001953125,23288.060546875,5675.2900390625,24771.140625,17750.7890625,37751.87890625,2082.080078125
2025-03-20,21.525535583496094,43.74415969848633,280.75,87.6484603881836,87.82503509521484,76348.0625,131955.0,41953.3203125,8094.2001953125,8702.0,22999.150390625,5662.89013671875,24219.94921875,17691.630859375,37751.87890625,2068.6298828125
2025-03-21,21.399770736694336,43.52934265136719,278.489990234375,87.12970733642578,86.85325622558594,76905.5078125,132345.0,41985.3515625,8042.9501953125,8646.7998046875,22891.6796875,5667.56005859375,23689.720703125,17784.05078125,37677.05859375,2056.97998046875
2025-03-24,21.47716522216797,43.72462463378906,277.25,86.23633575439453,88.19065856933594,77984.3828125,131321.0,42583.3203125,8022.330078125,8638.0,22852.66015625,5767.56982421875,23905.560546875,18188.58984375,37608.48828125,2109.3798828125
2025-03-25,21.506187438964844,43.597694396972656,278.4700012207031,86.22672271728516,87.20111846923828,78017.1875,132068.0,42587.5,8108.58984375,8663.7998046875,23109.7890625,5776.64990234375,23344.25,18271.859375,37780.5390625,2095.3798828125
2025-03-26,21.47716522216797,43.33405685424805,278.239990234375,85.65995025634766,87.54132843017578,77288.5,132520.0,42454.7890625,8030.68017578125,8689.599609375,22839.029296875,5712.2001953125,23483.3203125,17899.01953125,38027.2890625,2073.830078125
2025-03-27,21.53521156311035,43.54887008666992,281.9700012207031,85.4101791381836,87.31776428222656,77606.4296875,133149.0,42299.69921875,7990.10986328125,8666.099609375,22678.740234375,5693.31005859375,23578.80078125,17804.029296875,37799.96875,2065.699951171875
2025-03-28,21.467491149902344,42.738433837890625,284.05999755859375,86.59175109863281,87.20111846923828,77414.921875,131902.0,41583.8984375,7916.080078125,8658.900390625,22461.51953125,5580.93994140625,23426.599609375,17322.990234375,37120.328125,2023.27001953125
2025-03-31,21.767396926879883,42.670082092285156,288.1400146484375,87.44673156738281,88.0079116821289,77414.921875,130260.0,42001.76171875,7790.7099609375,8582.7998046875,22163.490234375,5611.85009765625,23119.580078125,17299.2890625,35617.55859375,2011.9100341796875
2025-04-01,21.777070999145508,42.80678176879883,287.57000732421875,88.20449829101562,88.04679107666016,76024.5078125,131147.0,41989.9609375,7876.35986328125,8634.7998046875,22539.98046875,5633.06982421875,23206.83984375,17449.890625,35624.48046875,2012.239990234375
2025-04-02,21.912511825561523,42.8653678894043,288.1600036621094,88.14665985107422,88.58141326904297,76617.4375,131190.0,42225.3203125,7858.830078125,8608.5,22390.83984375,5670.97021484375,23202.529296875,17601.05078125,35725.87109375,2045.3599853515625
2025-04-03,21.032142639160156,41.95729064941406,286.4200134277344,88.55157470703125,85.55838012695312,76295.359375,131141.0,40545.9296875,7598.97998046875,8474.7001953125,21717.390625,5396.52001953125,22849.810546875,16550.609375,34735.9296875,1910.550048828125
2025-04-04,20.267866134643555,39.62361526489258,279.7200012207031,89.51567077636719,81.84522247314453,75364.6875,127256.0,38314.859375,7274.9501953125,8055.0,20641.720703125,5074.080078125,22849.810546875,15587.7900390625,33780.578125,1827.030029296875
2025-04-07,19.948610305786133,38.149200439453125,273.7099914550781,86.81621551513672,79.697021484375,73137.8984375,125588.0,37965.6015625,6927.1201171875,7702.10009765625,19789.619140625,5062.25,19828.30078125,15603.259765625,31136.580078125,1810.1400146484375
2025-04-08,19.50358772277832,37.61216354370117,275.20001220703125,85.1772689819336,77.55854797363281,74227.078125,123932.0,37645.58984375,7100.419921875,7910.5,20280.259765625,4982.77001953125,20127.6796875,15267.91015625,33012.578125,1760.7099609375
2025-04-09,20.20981788635254,40.219234466552734,285.3800048828125,85.67859649658203,82.18543243408203,73847.1484375,127796.0,40608.44921875,6863.02001953125,7679.5,19670.880859375,5456.89990234375,20264.490234375,17124.970703125,31714.029296875,1913.1600341796875
2025-04-10,19.958282470703125,39.525970458984375,292.3500061035156,83.31658172607422,80.30940246582031,73847.1484375,126355.0,39593.66015625,7126.02001953125,7913.2998046875,20562.73046875,5268.0498046875,20681.779296875,16387.310546875,34609.0,1831.3900146484375
2025-04-11,20.248516082763672,40.76604080200195,297.92999267578125,83.76969909667969,81.29115295410156,75157.2578125,127682.0,40212.7109375,7104.7998046875,7964.2001953125,20374.099609375,5363.35986328125,20914.689453125,16724.4609375,33585.578125,1860.199951171875
2025-04-14,20.258190155029297,41.1370849609375,296.2300109863281,84.367431640625,82.97277069091797,75157.2578125,129454.0,40524.7890625,7273.1201171875,8134.2998046875,20954.830078125,5405.97021484375,21417.400390625,16831.48046875,33982.359375,1880.8800048828125
2025-04-15,20.20981788635254,41.098026275634766,297.7799987792969,84.66629791259766,83.22550964355469,76734.890625,129245.0,40368.9609375,7335.39990234375,8249.099609375,21253.69921875,5396.6298828125,21466.26953125,16823.169921875,34267.5390625,1882.9200439453125
2025-04-16,20.46135139465332,40.61957550048828,307.4700012207031,85.13870239257812,83.16718292236328,77044.2890625,128317.0,39669.390625,7329.97021484375,8275.599609375,21311.01953125,5275.7001953125,21056.98046875,16307.16015625,33920.3984375,1863.47998046875
2025-04-17,20.674190521240234,40.932029724121094,306.1199951171875,84.3866958618164,84.411376953125,78553.203125,129650.0,39142.23046875,7285.85986328125,8275.7001953125,21205.859375,5282.7001953125,21395.140625,16286.4501953125,34377.6015625,1880.6199951171875
2025-04-18,20.674190521240234,40.932029724121094,306.1199951171875,84.3866958618164,84.411376953125,78553.203125,129650.0,39142.23046875,7285.85986328125,8275.7001953125,21205.859375,5282.7001953125,21395.140625,16286.4501953125,34730.28125,1880.6199951171875
2025-04-21,20.500049591064453,40.92226791381836,315.5899963378906,82.91166687011719,82.65200805664062,79408.5,129650.0,38170.41015625,7285.85986328125,8275.7001953125,21205.859375,5158.2001953125,21395.140625,15870.900390625,34279.921875,1840.3199462890625
2025-04-22,20.59679412841797,41.53742218017578,311.1099853515625,83.37442016601562,84.255859375,79595.59375,130464.0,39186.98046875,7326.47021484375,8328.599609375,21293.529296875,5287.759765625,21562.3203125,16300.419921875,34220.6015625,1890.280029296875
2025-04-23,20.44200325012207,42.015872955322266,303.6499938964844,84.18424224853516,84.411376953125,80116.4921875,132216.0,39606.5703125,7482.35986328125,8403.2001953125,21961.970703125,5375.85986328125,22072.619140625,16708.05078125,34868.62890625,1919.1400146484375
2025-04-24,20.625816345214844,42.50408935546875,308.07000732421875,85.07121276855469,84.72244262695312,79801.4296875,134580.0,40093.3984375,7502.77978515625,8407.400390625,22064.509765625,5484.77001953125,21909.759765625,17166.0390625,35039.1484375,1957.5899658203125
